t	flux_B	flux_V	flux_R	B/V	B/R	V/R
58231.1775	68947.07958	101541.1456	57124.09184	0.67900632	1.206970253	1.777553784
58231.17847	70683.57765	99519.4723	57126.3324	0.710248718	1.237320421	1.74209455
58231.17945	68532.55476	99935.95224	57017.96182	0.685764765	1.201946765	1.752710007
58231.18043	69529.80348	100369.0747	56989.6974	0.692741302	1.220041633	1.761179289
58231.1814	69652.86049	97169.94068	55985.7115	0.716814892	1.244118519	1.735620359
58231.18239	66690.69158	96780.22121	56513.606	0.689094225	1.180082042	1.712511872
58231.18336	66325.03875	95551.90609	55250.47588	0.694125753	1.20044285	1.729431368
58231.18434	66124.99424	96657.89843	55075.62274	0.684113718	1.200621817	1.755003278
58231.18531	63861.12625	96109.05344	54701.68245	0.66446525	1.167443548	1.756967046
58231.18628	64681.50634	95657.51066	54362.89564	0.676178022	1.189809806	1.759610292
58231.18725	64708.47263	94603.09133	53824.64826	0.683999558	1.202208927	1.757616527
58231.18823	63283.85609	94984.54626	54030.03213	0.666254234	1.171271857	1.757995369
58231.1892	63135.01224	92848.49322	53130.14173	0.679978856	1.188308749	1.747567204
58231.19019	62198.87368	92351.59948	52875.40135	0.673500773	1.176329107	1.746589097
58231.19116	62453.60684	92560.44464	53073.09781	0.67473322	1.176746966	1.744018127
58231.19214	60652.45015	91184.78617	52690.49148	0.665159756	1.151108074	1.73057384
58231.1931	60709.034	91164.79619	52755.87953	0.665926284	1.150753898	1.728049973
58231.19407	60638.37728	90777.80005	52575.27049	0.667986856	1.153363106	1.72662545
58231.19506	61850.97325	90715.37155	52054.92176	0.681813591	1.188186845	1.742685773
58231.19604	59852.73582	90432.63724	52193.35951	0.661848837	1.146750015	1.732646415
58231.19701	61138.72042	91454.92509	52183.50881	0.668512061	1.171609994	1.752563735
58231.19798	59624.11207	90631.42121	52069.1763	0.657874623	1.145094206	1.740596407
58231.19896	59435.41861	88055.9669	51481.54665	0.67497321	1.154499475	1.710437479
58231.19993	59977.46625	88727.13467	51399.19996	0.675976594	1.166894938	1.726235715
58231.2009	59322.19043	88905.62607	51964.75889	0.667249004	1.141585022	1.710883067
58231.20188	59385.37723	88869.82567	51669.86886	0.668228803	1.149323165	1.719954543
58231.20287	59572.24607	88949.74776	51405.83147	0.66972923	1.158861638	1.730343527
58231.20384	57875.90004	88072.5149	51226.63887	0.657139178	1.129800848	1.719271786
58231.20482	60442.14333	87472.8912	50805.9303	0.690981429	1.189667091	1.721706318
58231.2058	58487.15277	88776.11673	50657.30706	0.6588163	1.154564981	1.752483933
58231.20678	59369.61077	89172.68235	51199.71363	0.665782493	1.159569196	1.741663694
58231.20776	59106.76253	87247.27111	50407.96203	0.677462593	1.172567986	1.730823219
58231.20875	58768.14656	87100.89227	50156.05453	0.674713485	1.171705931	1.736597767
58231.20972	58880.79005	87803.60525	50483.04625	0.670596496	1.166347802	1.739269156
58231.21069	60246.24204	88110.01738	50211.10255	0.68376155	1.199858975	1.754791528
58231.21167	60622.91324	88013.88771	50481.0246	0.68878804	1.200904968	1.743504384
58231.21265	59982.13369	89606.93956	51063.40055	0.669391612	1.174659992	1.754817317
58231.21362	60973.02138	90973.06639	51147.71739	0.670231573	1.192096627	1.778633946
58231.2146	60354.12737	89017.81202	51246.16	0.678000571	1.177729753	1.73706307
58231.21557	63459.66622	93117.70546	52151.44574	0.681499462	1.216834266	1.78552491
58231.21655	62706.83795	91982.75886	52034.12584	0.681723822	1.205109857	1.767739101
58231.21753	64228.92629	93770.22601	52516.92602	0.684960771	1.22301382	1.785523889
58231.21849	65612.18108	95400.42101	52931.36363	0.687755676	1.239570957	1.802342023
58231.21946	67760.03858	96157.44924	53468.34909	0.704677995	1.267292515	1.798399443
58231.22043	67836.53211	98259.36612	55001.06646	0.69038235	1.233367578	1.786499289
58231.22141	71845.00319	101481.4783	55240.49641	0.707961733	1.300585763	1.837084835
58231.22238	73429.47187	102467.5118	56663.73581	0.716612227	1.295881234	1.808343738
58231.22335	77857.27633	105988.7171	57758.72156	0.734580797	1.34797437	1.835025331
58231.22432	79958.36874	110814.869	59726.7111	0.721549098	1.338737179	1.855365329
58231.22529	86559.07154	117046.3333	61442.08491	0.739528263	1.408791249	1.904986354
58231.22626	91036.10083	121795.589	64205.35426	0.7474499	1.417889549	1.896969348
58231.22723	95436.42487	128191.1716	66229.85977	0.74448516	1.440987875	1.935549495
58231.2282	100982.0652	134452.7817	68780.4699	0.751059695	1.468179345	1.954810455
58231.22917	104828.3454	139679.0735	71764.49795	0.750494278	1.460727079	1.946353385
58231.23015	110918.9166	144117.2458	74190.26817	0.769643605	1.495060192	1.942535717
58231.23112	110888.9563	146076.6986	74386.83148	0.759114611	1.49070681	1.963744062
58231.2321	108809.7494	145574.5095	73934.62641	0.747450565	1.47170216	1.968962536
58231.23309	107453.8037	144455.3544	73888.11566	0.743854765	1.454277223	1.955055331
58231.23407	106841.9562	143794.7017	73933.78943	0.743017336	1.445103206	1.94491183
